CxN Type,Number,P/H/R,Annotation Targets - Gold Standard Relation
let-alone,1,Premi,"A ceasefire, let alone lasting peace, will take long negotiation."
,1,hypothesis,"If a ceasefire is acheived through long negotiation, lasting peace will also be achieved."
,1,relation,1 (neutral)
let-alone,2,premise,"A ceasefire, let alone lasting peace, will take long negotiation."
,2,hypothesis,Negotiating lasting peace will take less time than negotiating a ceasefire.
,2,relation,2 (contradiction)
let-alone,3,premise,"A ceasefire, let alone lasting peace, will take long negotiation."
,3,hypothesis,"It will take long negotiation to achieve a ceasefire, and even longer negotiation to achieve lasting peace."
,3,relation,0 (entailment)
let-alone,19,premise,There must have been text books around at one time but I can not even identify any titles let alone suppliers.
,19,hypothesis,"If I can identify titles of text books, I can also identify suppliers."
,19,relation,1 (neutral)
let-alone,20,premise,There must have been text books around at one time but I can not even identify any titles let alone suppliers.
,20,hypothesis,It would be more difficult to identify titles than suppliers.
,20,relation,2 (contradiction)
let-alone,21,premise,There must have been text books around at one time but I can not even identify any titles let alone suppliers.
,21,hypothesis,Titles of the textbooks would be easier to identify than suppliers
,21,relation,0 (entailment)
let-alone,28,premise,"Most of my friends haven't been outside Australia, let alone been all over the world."
,28,hypothesis,"If my friends have been outside Australia, they have also been all over the world."
,28,relation,1 (neutral)
let-alone,29,premise,"Most of my friends haven't been outside Australia, let alone been all over the world."
,29,hypothesis,Fewer of my friends have been outside Australia than those that have been all over the world.
,29,relation,2 (contradiction)
let-alone,30,premise,"Most of my friends haven't been outside Australia, let alone been all over the world."
,30,hypothesis,It is less likely that most of my friends have been all over the world than that they have been outside Australia.
,30,relation,0 (entailment)
way-manner,52,premise,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.
,52,hypothesis,We picked out all of the best songs from the tapes and loudly sang our way across the rest of Europe.
,52,relation,1 (neutral)
way-manner,53,premise,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.
,53,hypothesis,We picked out all of the best songs from the tapes and traveled across the rest of Europe in silence.
,53,relation,2 (contradiction)
way-manner,54,premise,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.
,54,hypothesis,We picked out all of the best songs from the tapes and traveled across the rest of Europe in song.
,54,relation,0 (entailment)
way-manner,43,premise,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.
,43,hypothesis,If you type in the following program exactly as listed and run it you will see a fascinating pattern move rapidly across the screen.
,43,relation,1 (neutral)
way-manner,44,premise,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.
,44,hypothesis,If you type in the following program exactly as listed and run it you will see a fascinating pattern move across your screen without snaking.
,44,relation,2 (contradiction)
way-manner,45,premise,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.
,45,hypothesis,If you type in the following program exactly as listed and run it you will see a fascinating pattern move across your screen by snaking.
,45,relation,0 (entailment)
way-manner,55,premise,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them."
,55,hypothesis,"She was a big, bosomy woman who couldn’t work without a box of biscuits on the desk beside her, and Sarella could hear her eating them slowly."
,55,relation,1 (neutral)
way-manner,56,premise,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them."
,56,hypothesis,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, eating them without crunching."
,56,relation,2 (contradiction)
way-manner,57,premise,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them."
,57,hypothesis,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, eating them by crunching them."
,57,relation,0 (entailment)
resultative,118,premise,Terry PUSHED the door shut.
,118,hypothesis,Terry closed the door with his side.
,118,relation,1 (neutral)
resultative,119,premise,Terry PUSHED the door shut.
,119,hypothesis,The door was completely shut before Terry pushed it.
,119,relation,2 (contradiction)
resultative,120,premise,Terry PUSHED the door shut.
,120,hypothesis,The door was at least partially open before Terry pushed it.
,120,relation,0 (entailment)
resultative,133,premise,Scrooge fell and knocked himself unconscious .
,133,hypothesis,Scrooge was unconscious for several hours.
,133,relation,1 (neutral)
resultative,134,premise,Scrooge fell and knocked himself unconscious .
