Ex Num	Type	Text	Output	Original Text	Option A	Option B	Option C	Target
1	Base	"The longer he is around, the more miserable I will be. The shorter he is around, the happier I will be. He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?"	more miserable / less happy	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	A
1	Recency Bias	"The shorter he is around, the happier I will be. The longer he is around, the more miserable I will be. He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?"	more miserable / less happy	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	A
1	Vocabulary Bias	"The longer he is around, the happier I will be. The shorter he is around, the more miserable I will be. He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?"	happier / less miserable	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	B
1	Name Bias	"The longer he is around, the more miserable I will be. The shorter he is around, the happier I will be. He is around longer on Wednesday than on Tuesday. How will I feel on Wednesday, compared to Tuesday?"	more miserable / less happy	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	A
1	Short Calibration	"He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?"	chance	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	C
1	Name Calibration	"The longer he is around, the more miserable I will be. The shorter he is around, the happier I will be. He is around longer on Tuesday than on Wednesday. How will you feel on Thursday, compared to Friday?"	chance	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	C
1	Adjective Calibration	"The longer he is around, the more miserable I will be. The shorter he is around, the happier I will be. He is happier on Tuesday than on Wednesday. How will I feel on Tuesday?"	chance	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	C
1	Nonce Calibration	"The longer he is around, the more miserable I will be. The shorter he is around, the happier I will be. He is knurdgier on Tuesday than on Wednesday. How will I feel on Tuesday?"	chance	"The longer he is around, the more miserable I will be."	more miserable	less miserable	not enough information	C
2	Base	"The more I studied, the less I understood. The less I studied, the more I understood. I studied more for History than for Chemistry. How much did I understand in Chemistry, compared to in History?"	more	"The more I studied, the less I understood. "	understood more	understood less	not enough information	A
2	Recency Bias	"The less I studied, the more I understood. The more I studied, the less I understood. I studied more for History than for Chemistry. How much did I understand in Chemistry, compared to in History?"	more	"The more I studied, the less I understood. "	understood more	understood less	not enough information	A
2	Vocabulary Bias	"The more I studied, the more I understood. The less I studied, the less I understood. I studied more for History than for Chemistry. How much did I understand in Chemistry, compared to in History?"	less	"The more I studied, the less I understood. "	understood more	understood less	not enough information	B
2	Name Bias	"The more I studied, the less I understood. The less I studied, the more I understood. I studied more for Chemistry than for History. How much did I understand in History, compared to in Chemistry?"	more	"The more I studied, the less I understood. "	understood more	understood less	not enough information	A
2	Short Calibration	"I studied more for History than for Chemistry. How much did I understand in Chemistry, compared to History?"	chance	"The more I studied, the less I understood. "	understood more	understood less	not enough information	C
2	Name Calibration	"The less I studied, the more I understood. The more I studied, the less I understood. I studied more for History than for Chemistry. How much did I understand in Biology, compared to in Math?"	chance	"The more I studied, the less I understood. "	understood more	understood less	not enough information	C
2	Adjective Calibration	"The more I studied, the less I understood. The less I studied, the more I understood. I enjoyed History more than Chemistry. How much did I understand in Chemistry, compared to in History?"	chance	"The more I studied, the less I understood. "	understood more	understood less	not enough information	C
2	Nonce Calibration	"The more I studied, the less I understood. The less I studied, the more I understood. I knurdged History more than Chemistry. How much did I understand in Chemistry, compared to in History?"	chance	"The more I studied, the less I understood. "	understood more	understood less	not enough information	C
3	Base	"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am an older patient than my brother. How effective will the drug be on me, compared to my brother?"	less effective	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	B
3	Recency Bias	"It seems the younger the patient, the more effective the drug. It seems the older the patient, the less effective the drug. I am an older patient than my brother. How effective will the drug be on me, compared to my brother?"	less effective	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	B
3	Vocabulary Bias	"It seems the older the patient, the more effective the drug. It seems the younger the patient, the less effective the drug. I am an older patient than my brother. How effective will the drug be on me compared to my brother?"	more effective	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	A
3	Name Bias	"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. My brother is an older patient than me. How effective will the drug be on my brother, compared to me?"	less effective	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	B
3	Short Calibration	"I am an older patient than my brother. How effective will the drug be on me, compared to my brother?"	chance	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	C
3	Name Calibration	"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am an older patient than my brother. How effective will the drug be on my sister, compared to my mother?"	chance	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	C
3	Adjective Calibration	"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am a more active patient than my brother. How effective will the drug be on me, compared to my brother?"	chance	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	C
3	Nonce Calibration	"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am a more knurdge patient than my brother. How effective will the drug be on me, compared to my brother?"	chance	"It seems the older the patient, the less effective the drug."	more effective	less effective	not enough information	C
4	Base	"The lower the prices, the more you will sell. The higher the prices, the less you will sell. The prices are lower on brown rice than white rice. How much brown rice will you sell, compared to white rice?"	more	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	A
4	Recency Bias	"The higher the prices, the less you will sell.  The lower the prices, the more you will sell. The prices are lower on brown rice than white rice. How much brown rice will you sell, compared to white rice?"	more	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	A
4	Vocabulary Bias	"The lower the prices, the less you will sell. The higher the prices, the more you will sell. The prices are lower on brown rice than white rice. How much brown rice will you sell, compared to white rice?"	less	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	B
4	Name Bias	"The lower the prices, the more you will sell. The higher the prices, the less you will sell. The prices are lower on white rice than brown rice. How much white rice will you sell, compared to brown rice?"	more	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	A
4	Short Calibration	"The prices are lower on brown rice than white rice. How much brown rice will you sell, compared to white rice?"	chance	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	C
4	Name Calibration	"The lower the prices, the more you will sell. The higher the prices, the less you will sell. The prices are lower on brown rice than white rice. How much purple rice will you sell, compared to red rice?"	chance	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	C
4	Adjective Calibration	"The lower the prices, the more you will sell. The higher the prices, the less you will sell. Brown rice is more nutritious than white rice. How much brown rice will you sell, compared to white rice?"	chance	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	C
4	Nonce Calibration	"The lower the prices, the more you will sell. The higher the prices, the less you will sell. Brown rice is more knurdge than white rice. How much brown rice will you sell, compared to white rice?"	chance	"The lower the prices, the more you will sell."	sell more	sell less	not enough information	C
5	Base	"The fewer things we make the more sustainable we are. The more things we make the less sustainable we are. We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	more	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	A
5	Recency Bias	"The more things we make the less sustainable we are. The fewer things we make the more sustainable we are. We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	more	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	A
5	Vocabulary Bias	"The fewer things we make the less sustainable we are. The more things we make the more sustainable we are. We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	less	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	B
5	Name Bias	"The fewer things we make the more sustainable we are. The more things we make the less sustainable we are. We made fewer things 5 years ago than we do today. How sustainable were we 5 years ago, compared to today?"	more	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	A
5	Short Calibration	"We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	chance	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	C
5	Name Calibration	"The fewer things we make, the more sustainable we are. The more things we make, the less sustainable we are. We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 1 year ago?"	chance	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	C
5	Adjective Calibration	"The fewer things we make, the more sustainable we are. The more things we make, the less sustainable we are. We make more expensive things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	chance	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	C
5	Nonce Calibration	"The fewer things we make the more sustainable we are. The more things we make the less sustainable we are. We make more knurdge things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?"	chance	The fewer things we make the more sustainable we are.	more sustainable	less sustainable	not enough information	C
6	Base	"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the afternoon, compared to at night? "	harder	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	B
6	Recency Bias	"The less far down the slope we go, the easier it is to pull back. The further down that slope we go, the harder it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the afternoon, compared to at night? "	harder	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	B
6	Vocabulary Bias	"The further down that slope we go, the easier it is to pull back. The less far down the slope we go, the harder it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the afternoon, compared to at night? "	easier	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	A
6	Name Bias	"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We go further down the slope during the night than we do during the afternoon. How difficult is it to pull back during the night, compared to the afternoon? "	harder	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	B
6	Short Calibration	"We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the afternoon, compared to at night? "	chance	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	C
6	Name Calibration	"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the morning, compared to at midday? "	chance	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	C
6	Adjective Calibration	"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We enjoy going down the slope during the afternoon more than we do at night. How difficult is it to pull back in the afternoon, compared to at night? "	chance	"The further down that slope we go, the harder it is to pull back."	easier	harder	not enough information	C
