Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target,Unnamed: 9
31.0,Base,"All I know, is the more I see her on television, the better. The less I see her on television, the worse. I see her more on television on Tuesday than on Wednesday. Is it better or worse on Tuesday, compared to Wednesday?",better,"All I know, is the more I see her on television, the better.",better,worse,not enough information,A,
16.0,Base,"The denser the matter, the more curvature. The less dense the matter, the less curvature. The matter in the laboratory is more dense than the matter in the shed. How much curvature does the matter in the laboratory have, compared to the matter in the shed?",more curvature,"The denser the matter, the more curvature.",more curvature,less curvature,not enough information,A,
33.0,Recency Bias,"The less you earn, the less you spend. The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.  My brother earns more than my sister earns.  How much sales tax does my brother pay, compared to my sister?",more miserable,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more miserable,less miserable,not enough information,A,
3.0,Recency Bias,"It seems the younger the patient, the more effective the drug. It seems the older the patient, the less effective the drug. I am an older patient than my brother. How effective will the drug be on me, compared to my brother?",less effective,"It seems the older the patient, the less effective the drug.",more effective,less effective,not enough information,B,
22.0,Vocabulary Bias,"The more snow, the more danger there is to skiers.  The less snow, the less danger there is to skiers.  There is more snow in Oregon than in Washington.  How much danger is there to skiers in Oregon compared to in Washington?",less miserable,"The more snow, the less danger there is to skiers.",more miserable,less miserable,not enough information,B,
35.0,Vocabulary Bias,"I thought the Rio Grande was often dry--and that the wetter it was, the higher the levels of smuggling.  The drier it was, the lower the levels of smuggling both animate and inanimate contraband.  The Rio Grande was drier in the afternoon than it was at night.  How high were the levels of smuggling in the afternoon, compared to at night?",less miserable,"I thought the Rio Grande was often dry--and that the wetter it was, the lower the levels of smuggling both animate and inanimate contraband.",more miserable,less miserable,not enough information,B,
44.0,Name Bias,"She thinks the more water she drinks the better her skin looks.  The less water she drinks the worse she looks.  She drinks more water on Friday than she does on Thursday.  How good does she look on Thursday, compared to Friday?",more miserable,She thinks the more water she drinks the better her skin looks.,more miserable,less miserable,not enough information,A,
6.0,Name Bias,"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We go further down the slope during the night than we do during the afternoon. How difficult is it to pull back during the night, compared to the afternoon? ",harder,"The further down that slope we go, the harder it is to pull back.",easier,harder,not enough information,B,
45.0,Short Calibration,"You are more specific over the phone than you are in person.  Are you better or worse over the phone, compared to in person?",not enough information,"It is worth noting, however, that the more specific you are the better.",more miserable,less miserable,not enough information,C,
26.0,Short Calibration,"There is more wealth created in London than in Paris.  Is it better or worse in London, compared to in Paris?",not enough information,"The more wealth created, the better.",more miserable,less miserable,not enough information,C,
33.0,Name Calibration,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.  The less you earn, the less you spend.  My brother earns more than my sister earns.  How much sales tax does my mother pay, compared to my father?",not enough information,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more miserable,less miserable,not enough information,C,
48.0,Name Calibration,"The more that he says, the less I wanna say.  The less that he says, the more I want to say.  He says more on the weekend than he does during the week.  How much do I want to say at home, compared to on vacation?",not enough information,"The more that he says, the less I wanna say.",more miserable,less miserable,not enough information,C,
17.0,Adjective Calibration,"The more data, the more information. The less data, the less information. There is funnier data on your phone than there is on your computer. How much information is on your phone, compared to your computer?",chance,"The more data, the more information.",more information,less information,not enough information,C,
41.0,Adjective Calibration,"Bill, the more I read your stuff, the more I am convinced that you have a black heart. The less I read your stuff, the less I am convinced you have a black heart. I listen to more music in December than I do in August. How convinced am I that you have a black heart in December, compared to in August?",,"Bill, the more I read your stuff, the more I am convinced that you have a black heart.",more convinced,less convinced,not enough information,C,
27.0,Nonce Calibration,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract. The smaller a movement gets, the less trouble-makers it is going to attract. The anti-car movement is knurgier than the anti-bicycle movement. How many trouble makers will the anti-car movement attract, compared to the anti-bicycle movement?",chance,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract.",more trouble-makers,less trouble-makers,not enough information,C,
29.0,Nonce Calibration,"The more we learn piecemeal of this history, the more bipartisan and voluble the call for full transparency has become. The less we learn piecemeal of this history, the less bipartisan and voluble the call for full transparency becomes. We scrace this piecemeal history on weekends than we do during the week. How bipartisan and voluble is the call for full transparency on the weekends, compared to during the week?",chance?,"The more we learn piecemeal of this history, the more bipartisan and voluble the call for full transparency has become.",more bipartisan and voluble,less bipartisan and voluble,not enough information,C,
