Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target
18.0,Base,"But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house. Mum did more elbowing in morning than in the evening. When was Mum likely to be moving into Granny's house, in the morning or in the evening?",morning,,morning,evening,Not enough info,A
16.0,Base,"This steam sometimes blasts its way up to the surface through the lava, causing what is known as a phreatic explosion, so the advance of the lava is then anything but peaceful, and unwary spectators are sometimes injured by the explosions. The steam does more blasting in winter than in summer. When is the steam more likely to be moving, in the winter or in the summer?",winter,,summer,winter,Not enough info,B
13.0,Base,"A middle-aged man eased his way into the room. The man did more easing on Tuesday than on Monday. When was he more likely to be moving, on Tuesday or on Monday?",Tuesday,,Monday,Tuesday,Not enough info,B
19.0,Base,"Constance squeezed her way down the platform looking for the first-class carriages. Constance did more squeezing on Monday than on Tuesday. When was Constance more likely to be moving down the platform, on Monday or on Tuesday?",Monday,,Monday,Tuesday,Not enough info,A
9.0,Base,"There is without a shadow of doubt some very nasty gossip about me now sludging its filthy way through the intestines of the society I know and have come to despise. Some very nasty gossip did more sludging on Monday than on Wednesday. When was some very nasty gossip likely to be traveling, on Monday or on Wednesday?",Monday,,Monday,Wednesday,Not enough info,A
5.0,Base,"Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below. A dropped tool did more clattering on Monday than on Saturday. When was the dropped tool likely to be falling, on Monday or on Saturday?",Monday,,Monday,Saturday,Not enough info,A
12.0,Base,"Up the long stone stairs from the kitchen, into the green enclosed light of the pantry passage, then on up the next staircase, its turns mean and sudden compared with the twin sweeps of the main stairs, Nicandra plodded her careful wayto Aunt Tossie 's bedroom door. Nicandra did more plodding in the evening than in the morning. When was Nicandra likely to be moving, in the morning or in the evening?",evening,,morning,evening,Not enough info,B
10.0,Base,"She was pointing at a massive crane inching its way down Heymouth Brae. The crane did more inching in the afternoon than in the morning. When was the crane more likely to be traveling, in the afternoon or in the morning?",afternoon,,morning,afternoon,Not enough info,B
21.0,Base,"With the ball inches from the line hooker Sean Culleton burrowed his way under the bodies for an unconverted try. Sean Culleton did more burrowing in the morning than in the afternoon. When was Sean Culleton more likely to be moving under the bodies, in the morning or in the afternoon?",morning,,morning,afternoon,Not enough info,A
17.0,Base,"He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile. He did more fighting in the afternoon than in the evening. When was he more likely to be moving towards the granite rockpile, in the afternoon or in the evening?",afternoon,,afternoon,evening,Not enough info,A
6.0,Base,"I watched the Land-Rover grind its way up the track till a turn of the glen hid it from sight, and in a few more moments the sound of its engine had faded to silence. The Land-Rover did more grinding on Monday than on Wednesday. When was the Land-Rover likely to be moving, on Monday or on Wednesday?",Monday,,Wednesday,Monday,Not enough info,B
7.0,Base,"There were lots of people in plastic rain hoods puffing their way up a huge, cobbled stairway, complaining at how wide apart the steps had been laid. Lots of people in plastic rain hoods did more puffing in the evening than in the morning. When were lots of people likely to be moving, in the evening or in the morning?",evening,,morning,evening,Not enough info,B
14.0,Base,"I yawned my way back to the Narrow Neck. I did more yawning on Tuesday than on Friday. When was I more likely to be moving, on Tuesday or on Friday?",Tuesday,,Tuesday,Friday,Not enough info,A
8.0,Base,"Lais danced her way across the Atlantic Ocean, sleeping during the day. Lais did more dancing in the fall than in the spring. When was Lais likely to be traveling, in the fall or in the spring?",fall,,spring,fall,Not enough info,B
15.0,Base,"It was an easy matter to buy my way on to the same flight. I did more buying in the morning than in the afternoon. When was I more likely to be moving, in the morning or in the afternoon?",morning,,morning,afternoon,Not enough info,A
13.0,Recency Bias,"The man did more easing on Tuesday than on Monday. A middle-aged man eased his way into the room. When was he more likely to be moving, on Tuesday or on Monday?.",Tuesday,,Monday,Tuesday,Not enough info,B
7.0,Recency Bias,"Lots of people in plastic rain hoods did more puffing in the evening than in the morning. There were lots of people in plastic rain hoods puffing their way up a huge, cobbled stairway, complaining at how wide apart the steps had been laid. When were lots of people likely to be moving, in the evening or in the morning?.",evening,,morning,evening,Not enough info,B
14.0,Recency Bias,"I did more yawning on Tuesday than on Friday. I yawned my way back to the Narrow Neck. When was I more likely to be moving, on Tuesday or on Friday?.",Tuesday,,Tuesday,Friday,Not enough info,A
21.0,Recency Bias,"Sean Culleton did more burrowing in the morning than in the afternoon. With the ball inches from the line hooker Sean Culleton burrowed his way under the bodies for an unconverted try. When was Sean Culleton more likely to be moving under the bodies, in the morning or in the afternoon?.",morning,,morning,afternoon,Not enough info,A
12.0,Recency Bias,"Nicandra did more plodding in the evening than in the morning. Up the long stone stairs from the kitchen, into the green enclosed light of the pantry passage, then on up the next staircase, its turns mean and sudden compared with the twin sweeps of the main stairs, Nicandra plodded her careful wayto Aunt Tossie 's bedroom door. When was Nicandra likely to be moving, in the morning or in the evening?.",evening,,morning,evening,Not enough info,B
2.0,Recency Bias,"Tricia did more backing on Monday than she did on Tuesday. Tricia backed her way out, never taking her eyes off me or letting her bearings slip. When was she more likely to be moving, on Monday or on Tuesday?.",Monday,,Monday,Tuesday,Not enough info,A
17.0,Recency Bias,"He did more fighting in the afternoon than in the evening. He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile. When was he more likely to be moving towards the granite rockpile, in the afternoon or in the evening?.",afternoon,,afternoon,evening,Not enough info,A
10.0,Recency Bias,"The crane did more inching in the afternoon than in the morning. She was pointing at a massive crane inching its way down Heymouth Brae. When was the crane more likely to be traveling, in the afternoon or in the morning?.",afternoon,,morning,afternoon,Not enough info,B
6.0,Recency Bias,"The Land-Rover did more grinding on Monday than on Wednesday. I watched the Land-Rover grind its way up the track till a turn of the glen hid it from sight, and in a few more moments the sound of its engine had faded to silence. When was the Land-Rover likely to be moving, on Monday or on Wednesday?.",Monday,,Wednesday,Monday,Not enough info,B
16.0,Recency Bias,"The steam does more blasting in winter than in summer. This steam sometimes blasts its way up to the surface through the lava, causing what is known as a phreatic explosion, so the advance of the lava is then anything but peaceful, and unwary spectators are sometimes injured by the explosions. When is the steam more likely to be moving, in the winter or in the summer?.",winter,,summer,winter,Not enough info,B
3.0,Recency Bias,"The taxi did more nosing on Wednesday than on Friday. The taxi nosed its way back into the traffic as she introduced herself with a soft Cockney accent and a shy manner. When was the taxi likely to be moving, on Wednesday or on Friday?.",Wednesday,,Friday,Wednesday,Not enough info,B
15.0,Recency Bias,"I did more buying in the morning than in the afternoon. It was an easy matter to buy my way on to the same flight. When was I more likely to be moving, in the morning or in the afternoon?.",morning,,morning,afternoon,Not enough info,A
20.0,Recency Bias,"Charles did more bulldozing in the winter than in the summer. He did not sound a bit sorry and she almost smiled because she had forgotten how Charles bulldozed his way through life. When was Charles more likely to be moving through life, in the winter or in the summer?.",winter,,summer,winter,Not enough info,B
19.0,Recency Bias,"Constance did more squeezing on Monday than on Tuesday. Constance squeezed her way down the platform looking for the first-class carriages. When was Constance more likely to be moving down the platform, on Monday or on Tuesday?.",Monday,,Monday,Tuesday,Not enough info,A
